"Species_name","Parvorder","Confidence","tips","column","value"
"Balaenoptera ricei","Mysticeti","4,4,3","Balaenoptera_ricei","Conf4","diurnal"
"Berardius arnuxii","Odontoceti","1,1,1,1,1","Berardius_arnuxii","Conf1","diurnal"
"Berardius arnuxii","Odontoceti","1,1,1,1,1","Berardius_arnuxii","Conf1","diurnal"
"Berardius arnuxii","Odontoceti","1,1,1,1,1","Berardius_arnuxii","Conf1","cathemeral"
"Berardius bairdii","Odontoceti","3,4,4,3","Berardius_bairdii","Conf3","cathemeral"
"Berardius bairdii","Odontoceti","3,4,4,3","Berardius_bairdii","Conf3","diurnal/cathemeral"
"Berardius bairdii","Odontoceti","3,4,4,3","Berardius_bairdii","Conf4","cathemeral"
"Berardius bairdii","Odontoceti","3,4,4,3","Berardius_bairdii","Conf4","cathemeral"
"Caperea marginata","Mysticeti","1,1,1,3","Caperea_marginata","Conf1","nocturnal"
"Caperea marginata","Mysticeti","1,1,1,3","Caperea_marginata","Conf1","diurnal"
"Caperea marginata","Mysticeti","1,1,1,3","Caperea_marginata","Conf3","cathemeral"
"Cephalorhynchus commersonii","Odontoceti","5,2,2,3,2,2","Cephalorhynchus_commersonii","Conf2","cathemeral"
"Cephalorhynchus commersonii","Odontoceti","5,2,2,3,2,2","Cephalorhynchus_commersonii","Conf3","cathemeral"
"Cephalorhynchus commersonii","Odontoceti","5,2,2,3,2,2","Cephalorhynchus_commersonii","Conf5","diurnal"
"Cephalorhynchus eutropia","Odontoceti","2,2,2,3","Cephalorhynchus_eutropia","Conf2","nocturnal"
"Cephalorhynchus eutropia","Odontoceti","2,2,2,3","Cephalorhynchus_eutropia","Conf3","cathemeral"
"Cephalorhynchus heavisidii","Odontoceti","2,4,3,4,2,2","Cephalorhynchus_heavisidii","Conf2","nocturnal"
"Cephalorhynchus heavisidii","Odontoceti","2,4,3,4,2,2","Cephalorhynchus_heavisidii","Conf2","nocturnal"
"Cephalorhynchus heavisidii","Odontoceti","2,4,3,4,2,2","Cephalorhynchus_heavisidii","Conf2","nocturnal"
"Cephalorhynchus heavisidii","Odontoceti","2,4,3,4,2,2","Cephalorhynchus_heavisidii","Conf3","nocturnal/crepuscular"
"Cephalorhynchus heavisidii","Odontoceti","2,4,3,4,2,2","Cephalorhynchus_heavisidii","Conf3","nocturnal/crepuscular"
"Cephalorhynchus heavisidii","Odontoceti","2,4,3,4,2,2","Cephalorhynchus_heavisidii","Conf4","nocturnal"
"Cephalorhynchus heavisidii","Odontoceti","2,4,3,4,2,2","Cephalorhynchus_heavisidii","Conf4","nocturnal/crepuscular"
"Cephalorhynchus hectori","Odontoceti","4,2,3,3,3,3,2","Cephalorhynchus_hectori","Conf3","diurnal"
"Cephalorhynchus hectori","Odontoceti","4,2,3,3,3,3,2","Cephalorhynchus_hectori","Conf3","cathemeral"
"Cephalorhynchus hectori","Odontoceti","4,2,3,3,3,3,2","Cephalorhynchus_hectori","Conf3","diurnal"
"Cephalorhynchus hectori","Odontoceti","4,2,3,3,3,3,2","Cephalorhynchus_hectori","Conf3","cathemeral"
"Cephalorhynchus hectori","Odontoceti","4,2,3,3,3,3,2","Cephalorhynchus_hectori","Conf4","cathemeral"
"Delphinapterus leucas","Odontoceti","3,5,1,4,4,4,5,4","Delphinapterus_leucas","Conf1","diurnal"
"Delphinapterus leucas","Odontoceti","3,5,1,4,4,4,5,4","Delphinapterus_leucas","Conf3","diurnal"
"Delphinapterus leucas","Odontoceti","3,5,1,4,4,4,5,4","Delphinapterus_leucas","Conf4","diurnal"
"Delphinapterus leucas","Odontoceti","3,5,1,4,4,4,5,4","Delphinapterus_leucas","Conf4","cathemeral"
"Delphinapterus leucas","Odontoceti","3,5,1,4,4,4,5,4","Delphinapterus_leucas","Conf4","nocturnal"
"Delphinapterus leucas","Odontoceti","3,5,1,4,4,4,5,4","Delphinapterus_leucas","Conf4","diurnal"
"Delphinapterus leucas","Odontoceti","3,5,1,4,4,4,5,4","Delphinapterus_leucas","Conf5","diurnal"
"Delphinapterus leucas","Odontoceti","3,5,1,4,4,4,5,4","Delphinapterus_leucas","Conf5","cathemeral"
"Delphinus delphis","Odontoceti","3,2,3,2,3,1,4","Delphinus_delphis","Conf1","nocturnal"
"Delphinus delphis","Odontoceti","3,2,3,2,3,1,4","Delphinus_delphis","Conf3","nocturnal"
"Delphinus delphis","Odontoceti","3,2,3,2,3,1,4","Delphinus_delphis","Conf3","nocturnal"
"Delphinus delphis","Odontoceti","3,2,3,2,3,1,4","Delphinus_delphis","Conf3","nocturnal"
"Delphinus delphis","Odontoceti","3,2,3,2,3,1,4","Delphinus_delphis","Conf4","nocturnal"
"Eschrichtius robustus","Mysticeti","3,3,2,3,5,5,4","Eschrichtius_robustus","Conf2","diurnal"
"Eschrichtius robustus","Mysticeti","3,3,2,3,5,5,4","Eschrichtius_robustus","Conf3","nocturnal/crepuscular"
"Eschrichtius robustus","Mysticeti","3,3,2,3,5,5,4","Eschrichtius_robustus","Conf3","cathemeral/crepuscular"
"Eschrichtius robustus","Mysticeti","3,3,2,3,5,5,4","Eschrichtius_robustus","Conf3","cathemeral"
"Eschrichtius robustus","Mysticeti","3,3,2,3,5,5,4","Eschrichtius_robustus","Conf4","diurnal"
"Eschrichtius robustus","Mysticeti","3,3,2,3,5,5,4","Eschrichtius_robustus","Conf5","cathemeral"
"Eschrichtius robustus","Mysticeti","3,3,2,3,5,5,4","Eschrichtius_robustus","Conf5","diurnal"
"Eubalaena australis","Mysticeti","2,3,3, 2, 2, 3, 2","Eubalaena_australis","Conf2","unclear/crepuscular"
"Eubalaena australis","Mysticeti","2,3,3, 2, 2, 3, 2","Eubalaena_australis","Conf2","diurnal"
"Eubalaena australis","Mysticeti","2,3,3, 2, 2, 3, 2","Eubalaena_australis","Conf3","cathemeral"
"Eubalaena australis","Mysticeti","2,3,3, 2, 2, 3, 2","Eubalaena_australis","Conf3","nocturnal/crepuscular"
