"Species_name","Parvorder","Conf1.1","Conf1.2","Conf1.3","Conf1.4","Conf1.5","Conf2.1","Conf2.2","Conf2.3","Conf2.4","Conf2.5","Conf2N.1","Conf2N.2","Conf3.1","Conf3.2","Conf3.3","Conf3.4","Conf3.5","Conf3.6","Conf3.7","Conf3.8","Conf3ByS.1","Conf3ByS.2","Conf4.1","Conf4.2","Conf4.3","Conf4.4","Conf4.5","Conf4.6","Conf4.7","Conf4.8","Conf5.1","Conf5.2","Conf5.3","Conf5.4","Confidence","tips"
"Hyperoodon ampullatus","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal"," cathemeral",NA,NA,NA,NA,NA,NA,"",NA,"cathemeral"," cathemeral",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,3,4,4","Hyperoodon_ampullatus"
"Hyperoodon planifrons","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"diurnal"," diurnal/crepuscular",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,3","Hyperoodon_planifrons"
"Indopacetus pacificus","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal/crepuscular"," nocturnal",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,3","Indopacetus_pacificus"
"Inia boliviensis","Odontoceti","unclear/nocturnal",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"1","Inia_boliviensis"
"Inia geoffrensis","Odontoceti","",NA,NA,NA,NA,"unclear/nocturnal",NA,NA,NA,NA,"",NA,"diurnal"," nocturnal/cathemeral"," cathemeral"," ",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,"3,3,3,5,2","Inia_geoffrensis"
"Inia humboldtiana","Odontoceti","unclear/nocturnal",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"1","Inia_humboldtiana"
"Kogia breviceps","Odontoceti","unclear"," nocturnal",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"cathemeral"," nocturnal/crepuscular"," cathemeral",NA,NA,NA,NA,NA,"",NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,1,1,4,3,3","Kogia_breviceps"
"Kogia sima","Odontoceti","unclear/nocturnal",NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,"",NA,"cathemeral"," nocturnal/crepuscular"," cathemeral",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,2,1,3,3","Kogia_sima"
"Lagenodelphis hosei","Odontoceti","unclear/nocturnal",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"1,3","Lagenodelphis_hosei"
"Lagenorhynchus acutus","Odontoceti","",NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2,3","Lagenorhynchus_acutus"
"Lagenorhynchus albirostris","Odontoceti","",NA,NA,NA,NA,"unclear",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2,4","Lagenorhynchus_albirostris"
"Lagenorhynchus australis","Odontoceti","nocturnal"," nocturnal",NA,NA,NA,"nocturnal"," unclear"," unclear"," nocturnal",NA,"",NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2,2,2,1,1,3","Lagenorhynchus_australis"
