"Species_name","Parvorder","Conf1.1","Conf1.2","Conf1.3","Conf1.4","Conf1.5","Conf2.1","Conf2.2","Conf2.3","Conf2.4","Conf2.5","Conf2N.1","Conf2N.2","Conf3.1","Conf3.2","Conf3.3","Conf3.4","Conf3.5","Conf3.6","Conf3.7","Conf3.8","Conf3ByS.1","Conf3ByS.2","Conf4.1","Conf4.2","Conf4.3","Conf4.4","Conf4.5","Conf4.6","Conf4.7","Conf4.8","Conf5.1","Conf5.2","Conf5.3","Conf5.4","Confidence","tips"
"Pseudorca crassidens","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"diurnal"," diurnal"," diurnal",NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,"5,4, 4, 4","Pseudorca_crassidens"
"Sotalia fluviatilis","Odontoceti","",NA,NA,NA,NA,"unclear/crepuscular"," unclear"," crepuscular",NA,NA,"",NA,"diurnal"," cathemeral",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,2,2,3","Sotalia_fluviatilis"
"Sotalia guianensis","Odontoceti","",NA,NA,NA,NA,"unclear/crepuscular"," unclear/crepuscular"," unclear",NA,NA,"unclear/nocturnal",NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,2,2,2,2","Sotalia_guianensis"
"Sousa chinensis","Odontoceti","",NA,NA,NA,NA,"unclear",NA,NA,NA,NA,"",NA,"nocturnal"," nocturnal"," nocturnal/crepuscular"," cathemeral"," nocturnal"," nocturnal",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,3,3,3,2,3","Sousa_chinensis"
"Sousa plumbea","Odontoceti","",NA,NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,"",NA,"nocturnal"," nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,3,2","Sousa_plumbea"
"Sousa sahulensis","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"0.5","Sousa_sahulensis"
"Sousa teuszii","Odontoceti","",NA,NA,NA,NA,"unclear"," unclear",NA,NA,NA,"",NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2,3,2","Sousa_teuszii"
"Stenella attenuata","Odontoceti","diurnal",NA,NA,NA,NA,"unclear",NA,NA,NA,NA,"",NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,"",NA,"nocturnal"," nocturnal"," nocturnal/crepuscular"," nocturnal",NA,NA,NA,NA,"",NA,NA,NA,"2,4,4,4,3,1,4","Stenella_attenuata"
"Stenella clymene","Odontoceti","nocturnal"," diurnal"," diurnal"," nocturnal"," nocturnal","unclear"," unclear",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"1,1,2,1,2,1,1","Stenella_clymene"
"Stenella coeruleoalba","Odontoceti","nocturnal",NA,NA,NA,NA,"unclear",NA,NA,NA,NA,"",NA,"nocturnal"," nocturnal"," nocturnal",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2,3,3,3,1","Stenella_coeruleoalba"
"Stenella frontalis","Odontoceti","",NA,NA,NA,NA,"nocturnal"," diurnal",NA,NA,NA,"",NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2,2,3","Stenella_frontalis"
"Stenella longirostris","Odontoceti","nocturnal",NA,NA,NA,NA,"unclear"," nocturnal/cathemeral"," nocturnal",NA,NA,"nocturnal",NA,"nocturnal/crepuscular"," nocturnal",NA,NA,NA,NA,NA,NA,"",NA,"nocturnal"," nocturnal",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"4,2,2,4,2,3,3,2,1","Stenella_longirostris"
"Steno bredanensis","Odontoceti","",NA,NA,NA,NA,"unclear/nocturnal"," unclear/nocturnal",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"nocturnal/crepuscular"," nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"4,2,2,4 ","Steno_bredanensis"
"Tasmacetus shepherdi","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"0,0,0.5","Tasmacetus_shepherdi"
"Tursiops aduncus","Odontoceti","diurnal"," diurnal",NA,NA,NA,"unclear/crepuscular"," unclear/crepuscular"," unclear/crepuscular"," unclear"," unclear/crepuscular","",NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular",NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,"5,3,3,2,2,4,2,1,1,2","Tursiops_aduncus"
"Tursiops truncatus","Odontoceti","",NA,NA,NA,NA,"unclear/crepuscular"," unclear/nocturnal"," unclear/crepuscular"," ",NA,"",NA,"nocturnal/crepuscular"," diurnal"," cathemeral"," cathemeral"," cathemeral/crepuscular"," diurnal/crepuscular",NA,NA,"",NA,"cathemeral/crepuscular"," cathemeral/crepuscular"," cathemeral/crepuscular"," cathemeral/crepuscular",NA,NA,NA,NA,"diurnal"," diurnal"," diurnal"," cathemeral","5,5,5,5,5,4,4,4,3,3,4,3,2,2","Tursiops_truncatus"
"Ziphius cavirostris","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"cathemeral"," cathemeral"," cathemeral"," cathemeral",NA,NA,NA,NA,"",NA,"cathemeral"," cathemeral"," cathemeral",NA,NA,NA,NA,NA,"",NA,NA,NA,"4,4,4,4,3,3,3,3","Ziphius_cavirostris"
