"tips","max_crep","Diel_Pattern","Order","Family","AdultBodyMass_g","AdultHeadBodyLen_mm","DietBreadth","HabitatBreadth","HomeRange_km2","SocialGrpSize","Terrestriality","TrophicLevel","GR_Area_km2","GR_MidRangeLat_dd","GR_MaxLat_dd","GR_MinLat_dd","GR_MaxLong_dd","GR_MinLong_dd","GR_MidRangeLong_dd","Orbit_ratio","Species_name","min_lat","max_lat","mean_lat"
"Balaenoptera_bonaerensis","cathemeral","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Balaenoptera bonaerensis",-85.4689,5.67140000000006,-39.8987499999999
"Balaenoptera_borealis","cathemeral","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Balaenoptera borealis",-77.637399525,75.9723004990001,-0.832549512999954
"Balaenoptera_brydei","nocturnal","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balaenoptera_edeni","diurnal","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Balaenoptera edeni",-45.1973395089998,47.5874148408454,1.19503766592281
"Balaenoptera_musculus","cathemeral","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Balaenoptera musculus",-85.5827637175627,79.2291700519982,-3.17679683278227
"Balaenoptera_omurai","cathemeral","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Balaenoptera omurai",-36.7453444204086,36.3713488642587,-0.186997778074954
"Balaenoptera_physalus","cathemeral","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Balaenoptera physalus",-79.9610695109988,80.3088693089991,0.173899899000162
"Balaenoptera_ricei","diurnal","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Balaenoptera ricei",26.7445858750381,30.1474895282192,28.4460377016287
"Beatragus_hunteri","crepuscular","cathemeral/crepuscular","Artiodactyla","Bovidae",79132.17,1600,1,1,NA,13.5,1,1,30188.68,-0.57,0.8,-1.95,42.52,39.93,41.23,NA,"Beatragus hunteri",-3.49086440699995,-0.710264406999954,-2.10056440699995
"Berardius_arnuxii","diurnal","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Berardius arnuxii",-78.9528499636156,-23.1313435610428,-51.0420967623292
"Berardius_bairdii","cathemeral","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Berardius bairdii",21.98934225671,66.3916625156496,44.1905023861798
"Berardius_minimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bison_bison","crepuscular","diurnal/crepuscular","Artiodactyla","Bovidae",624577.07,2849.24,2,2,47.39,30,1,1,10388.04,44.31,44.97,43.65,-109.99,-111.12,-110.56,NA,"Bison bison",35.7509099970001,64.656694959,50.2038024780001
"Bison_bonasus","cathemeral","cathemeral","Artiodactyla","Bovidae",675876.7,2900,2,2,7.91,35,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Bison bonasus",41.4718593964026,60.0247746889208,50.7483170426617
"Blastocerus_dichotomus","crepuscular","cathemeral/crepuscular","Artiodactyla","Cervidae",112518.53,1720,3,1,NA,3,1,1,2004539.09,-19.49,-3.88,-35.1,-46.54,-69.28,-57.91,NA,"Blastocerus dichotomus",-34.6908180139999,-7.43726829499997,-21.0640431545
"Bos_frontalis",NA,NA,"Artiodactyla","Bovidae",800143.05,2700,3,NA,NA,40,NA,1,2294331.63,15.43,28.01,2.86,108.68,73.55,91.12,NA,NA,NA,NA,NA
"Bos_gaurus","crepuscular","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bos gaurus",3.70793559300006,29.7566355930001,16.7322855930001
"Bos_grunniens",NA,NA,"Artiodactyla","Bovidae",5e+05,NA,2,NA,NA,110,NA,1,1523540.07,34.27,38.88,29.66,99.23,75.91,87.57,NA,NA,NA,NA,NA
"Bos_javanicus","cathemeral","cathemeral","Artiodactyla","Bovidae",635974.34,2075,2,1,NA,40,1,1,1687920.66,8.15,25.08,-8.78,118.35,94.94,106.64,NA,"Bos javanicus",-8.94828527524521,27.2044628988438,9.12808881179927
"Bos_mutus","diurnal","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bos mutus",29.1501355930001,39.0415355920001,34.0958355925001
"Bos_sauveli","cathemeral","cathemeral","Artiodactyla","Bovidae",791321.76,2175,2,1,NA,20,1,1,115557.18,13.76,15.48,12.04,107.85,102.98,105.42,NA,"Bos sauveli",12.378335593,14.5947355930001,13.486535593
"Bos_taurus",NA,NA,"Artiodactyla","Bovidae",618642.42,NA,NA,NA,10.04,NA,NA,NA,44447.62,13.46,15.08,11.85,108.99,107.08,108.04,NA,NA,NA,NA,NA
"Boselaphus_tragocamelus","crepuscular","nocturnal/crepuscular","Artiodactyla","Bovidae",182253.04,2000,5,NA,NA,NA,NA,1,2192564.81,22.35,33,11.71,87.08,68.93,78,NA,"Boselaphus tragocamelus",11.713435593,32.7192355930001,22.2163355930001
"Bubalus_arnee","diurnal","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bubalus arnee",6.27903559300006,27.7430355930001,17.0110355930001
"Bubalus_bubalis","cathemeral","cathemeral","Artiodactyla","Bovidae",929500.97,2649.52,2,1,3.63,NA,1,1,978657.33,20.98,27.44,14.51,100,84.68,92.34,NA,NA,NA,NA,NA
"Bubalus_depressicornis","crepuscular","nocturnal/crepuscular","Artiodactyla","Bovidae",256989.27,1728.58,3,1,NA,1,1,1,41026.7,-1.33,0.85,-3.51,123.99,119.57,121.78,NA,"Bubalus depressicornis",-5.43113899199994,1.27483559200004,-2.07815169999995
"Bubalus_mindorensis","cathemeral","cathemeral","Artiodactyla","Bovidae",254389.74,2199.99,2,1,NA,1,1,1,9912.75,12.86,13.53,12.2,121.55,120.29,120.92,NA,"Bubalus mindorensis",12.666687011,13.47824289,13.0724649505
"Bubalus_quarlesi","crepuscular","cathemeral/crepuscular","Artiodactyla","Bovidae",181718.86,1577.97,3,NA,NA,1,NA,1,56312.24,-2.33,0.79,-5.45,123.6,119.41,121.51,NA,"Bubalus quarlesi",-5.14736440799993,1.24603559300004,-1.95066440749994
"Budorcas_taxicolor","crepuscular","diurnal/crepuscular","Artiodactyla","Bovidae",294515.33,1736,3,1,NA,14,1,1,402044.43,30.15,34.44,25.85,108.95,88.22,98.58,NA,"Budorcas taxicolor",24.690835593,34.0919355930001,29.3913855930001
"Camelus_bactrianus","diurnal","diurnal","Artiodactyla","Camelidae",554515.91,NA,2,1,NA,6.2,1,1,188693,41.34,44.71,37.98,97.58,90.75,94.17,0.912823493386637,NA,NA,NA,NA
"Camelus_dromedarius","diurnal","diurnal","Artiodactyla","Camelidae",492714.47,NA,3,1,196.32,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camelus_ferus","crepuscular","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Camelus ferus",36.4640046962598,45.8055898389999,41.1347972676299
"Caperea_marginata","cathemeral","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caperea marginata",-61.2262773959999,-18.798907415,-40.0125924055
"Capra_aegagrus","diurnal","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Capra aegagrus",25.0893266421109,42.9492625223476,34.0192945822292
"Capra_caucasica","cathemeral","cathemeral","Artiodactyla","Bovidae",58149.52,NA,NA,NA,NA,NA,NA,NA,32781.87,42.33,43.82,40.83,48.52,40,44.26,NA,"Capra caucasica",42.8467535318501,43.932243288597,43.3894984102235
"Capra_cylindricornis","cathemeral","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Capra cylindricornis",40.8981044649491,43.6995990642455,42.2988517645973
"Capra_falconeri","crepuscular","diurnal/crepuscular","Artiodactyla","Bovidae",54303.37,1590,2,1,NA,NA,1,1,155075.85,33.87,38.9,28.84,75.48,65.04,70.26,NA,"Capra falconeri",29.2126744240001,38.570720728,33.891697576
"Capra_hircus",NA,NA,"Artiodactyla","Bovidae",47386.47,NA,2,NA,98.3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capra_ibex","crepuscular","cathemeral/crepuscular","Artiodactyla","Bovidae",69546.83,NA,2,1,NA,NA,1,1,145098.13,45.83,47.9,43.76,15.5,4.76,10.13,0.910931474542503,"Capra ibex",42.0672982254328,47.7256558675243,44.8964770464786
"Capra_nubiana","crepuscular","cathemeral/crepuscular","Artiodactyla","Bovidae",47763.72,NA,NA,NA,NA,NA,NA,NA,177986.79,23.53,32.88,14.18,57.13,31.5,44.31,NA,"Capra nubiana",11.6628355920889,34.5458483376307,23.1043419648598
