"tips","Parvorder","Family","Diel_Pattern","max_crep","Confidence","Dive_duration","Body_length_m","Orbit_ratio","Diet","Brain_mass_g","Encephalization_quotient","Longevity_days","Sexual_maturity_days","Group_size","IUCN","Dive_depth_m","Mean_dive_depth_m","Body_mass_kg","Average_body_mass_kg","Habitat","Feeding_method","Divetype","Species_name","max_lat","mean_lat"
"Phocoenoides_dalli","Odontoceti","Phocoenidae","cathemeral/crepuscular","crepuscular",3,NA,2.4,31.5802,"cephalopods + fish","876.4",3.65,"6022.5",1817.7,7,"least_concern",180,151.333333333333,220,176.44375,"coastal/pelagic","Raptorial/Suction","mid","Phocoenoides dalli",62.6856574000001,45.9648948385001
"Physeter_macrocephalus","Odontoceti","Physeteridae","cathemeral","cathemeral",4,138,18.3,10.43169,"cephalopods + fish","8183.1",0.45,"23,725",3285,25,"vulnerable",3200,2568,70000,52007.875,"pelagic","Suction","verydeep","Physeter macrocephalus",75.6724853507184,-3.67401123113336
"Platanista_gangetica","Odontoceti","Platanistidae","nocturnal/crepuscular","crepuscular",3,NA,NA,8.00285,"fish","290.5",1.57,"10,220",3650,1,"endangered",NA,NA,110,86.5266666666667,"riverine","Raptorial","shallow_low_conf","Platanista gangetica",30.2405902350513,25.1920467731901
"Platanista_minor","Odontoceti","Platanistidae","nocturnal/crepuscular","crepuscular",3,NA,NA,NA,NA,"164",2.07,NA,NA,1,NA,NA,NA,18.3,18.3,NA,"Raptorial",NA,"Platanista minor",32.6431760572293,28.9709996642032
"Pontoporia_blainvillei","Odontoceti","Pontoporiidae","cathemeral","cathemeral",3,NA,NA,24.4151333333333,"cephalopods + fish","221.2",1.76,"7665",985.5,1,"vulnerable",35,35,50,41.62,"coastal","Raptorial","shallow","Pontoporia blainvillei",-18.422426198,-30.245742581
"Pseudorca_crassidens","Odontoceti","Delphinidae","diurnal","diurnal",5,NA,6,24.84204,"tetrapods + fish","2534",2.39,"22,630",3604.5,20.2,"near_threatened",1424,1018.75,2200,1769.5,"coastal/pelagic","Raptorial","verydeep","Pseudorca crassidens",61.5051499089983,1.63718545900126
"Sotalia_fluviatilis","Odontoceti","Delphinidae","cathemeral","cathemeral",3,NA,NA,28.1158,"fish","688",4.58,"10,767.50",NA,4,"endangered",NA,NA,55,50.5333333333333,"riverine","Raptorial","shallow_low_conf","Sotalia fluviatilis",2.5446435208475,-4.22610647905069
"Sotalia_guianensis","Odontoceti","Delphinidae","cathemeral","cathemeral",3,NA,NA,27.9737,"fish",NA,NA,NA,NA,NA,"near_threatened",35,35,120,80,"coastal","Raptorial","shallow","Sotalia guianensis",17.5588151690001,-5.23343741849993
"Sousa_chinensis","Odontoceti","Delphinidae","nocturnal","nocturnal",3,NA,NA,NA,"fish",NA,NA,"16,790",3650,13,"vulnerable",30,30,280,258.333333333333,"coastal","Raptorial","shallow","Sousa chinensis",26.8773988410001,8.99809335150005
"Sousa_plumbea","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular",3,NA,NA,28.42925,"fish",NA,NA,NA,NA,NA,"endangered",30,30,280,280,"coastal","Raptorial","shallow","Sousa plumbea",30.5183429719561,-2.17825229758105
"Sousa_sahulensis","Odontoceti","Delphinidae",NA,NA,1,NA,NA,NA,"fish",NA,NA,NA,NA,NA,"vulnerable",NA,NA,240,240,"coastal","Raptorial",NA,"Sousa sahulensis",0.10715067700005,-14.1909846185
"Sousa_teuszii","Odontoceti","Delphinidae","nocturnal","nocturnal",3,NA,NA,NA,"fish",NA,NA,NA,NA,6,"critically_endangered",NA,NA,176.8355,163.41775,"coastal","Raptorial",NA,"Sousa teuszii",23.916383743,3.87656530450005
"Stenella_attenuata","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular",4,5,2.6,30.62917,"cephalopods + fish",NA,NA,"15,512.50",4234,88.4,"least_concern",213,184.75,165,115.5,"pelagic","Raptorial","mid","Stenella attenuata",43.5502419410001,1.25274613550008
"Stenella_clymene","Odontoceti","Delphinidae","nocturnal","nocturnal",2,NA,NA,26.2520475,"cephalopods + fish",NA,NA,NA,NA,76,"least_concern",700,700,85,81.5,"pelagic","Raptorial","deep","Stenella clymene",41.0165759490001,4.21493517950006
"Stenella_coeruleoalba","Odontoceti","Delphinidae","nocturnal","nocturnal",3,NA,2.56,25.9808247045071,"cephalopods + fish","939.4",2.45,"16,607.50",3285,126,"least_concern",700,700,164.5,159.125,"pelagic","Raptorial","deep","Stenella coeruleoalba",60.6971804179978,5.52485823801094
"Stenella_frontalis","Odontoceti","Delphinidae","nocturnal","nocturnal",3,6,2.3,29.07710474,"cephalopods + fish",NA,NA,NA,4197.5,9.5,"least_concern",60,60,143,124.25,NA,"Raptorial","shallow","Stenella frontalis",49.1737602910001,7.35251308250005
"Stenella_longirostris","Odontoceti","Delphinidae","nocturnal","nocturnal",4,3,2.35,29.3828666666667,"cephalopods + fish","660",3.62,"7300",2007.5,29,"least_concern",600,392.5,82,75.6125,"pelagic","Raptorial","deep","Stenella longirostris",41.3899726600001,3.43058278800007
"Steno_bredanensis","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular",4,15,2.65,32.2005806666667,"cephalopods + fish","1537.9",5.01,"11,680",3650,16.8,"least_concern",400,292.5,160,146.40625,"pelagic","Raptorial","mid","Steno bredanensis",48.2998031909701,5.51880265148535
"Tasmacetus_shepherdi","Odontoceti","Ziphiidae",NA,NA,1,NA,NA,21.2229,"cephalopods + fish",NA,NA,NA,NA,4,NA,NA,NA,5000,5000,"pelagic","Suction","verydeep_low_conf","Tasmacetus shepherdi",-33.250954318,-44.200122657
