"Species_name","tabulated_diel","tips"
"Hippotragus niger","diurnal/crepuscular","Hippotragus_niger"
"Hydropotes inermis","cathemeral/crepuscular","Hydropotes_inermis"
"Hyemoschus aquaticus","nocturnal","Hyemoschus_aquaticus"
"Hylochoerus meinertzhageni","diurnal","Hylochoerus_meinertzhageni"
"Kobus ellipsiprymnus","cathemeral/crepuscular","Kobus_ellipsiprymnus"
"Kobus kob","cathemeral","Kobus_kob"
"Kobus leche","diurnal","Kobus_leche"
"Kobus megaceros","cathemeral/crepuscular","Kobus_megaceros"
"Kobus vardonii","nocturnal/crepuscular","Kobus_vardonii"
"Lama glama","diurnal","Lama_glama"
"Lama guanicoe","diurnal","Lama_guanicoe"
"Litocranius walleri","diurnal/crepuscular","Litocranius_walleri"
"Madoqua guentheri","diurnal","Madoqua_guentheri"
"Madoqua kirkii","cathemeral","Madoqua_kirkii"
"Madoqua piacentinii","diurnal/crepuscular","Madoqua_piacentinii"
"Madoqua saltiana","cathemeral/crepuscular","Madoqua_saltiana"
"Mazama americana","nocturnal/crepuscular","Mazama_americana"
"Mazama bororo","nocturnal","Mazama_bororo"
"Mazama bricenii","nocturnal","Mazama_bricenii"
"Mazama chunyi","nocturnal","Mazama_chunyi"
"Mazama gouazoubira","cathemeral/crepuscular","Mazama_gouazoubira"
"Mazama nana","nocturnal","Mazama_nana"
"Mazama nemorivaga","diurnal/crepuscular","Mazama_nemorivaga"
"Mazama pandora","diurnal","Mazama_pandora"
"Mazama rufina","nocturnal","Mazama_rufina"
"Mazama temama","cathemeral","Mazama_temama"
"Moschiola indica","nocturnal","Moschiola_indica"
"Moschiola kathygre","nocturnal","Moschiola_kathygre"
"Moschiola meminna","nocturnal","Moschiola_meminna"
"Moschus anhuiensis","nocturnal/crepuscular","Moschus_anhuiensis"
"Moschus berezovskii","cathemeral/crepuscular","Moschus_berezovskii"
"Moschus chrysogaster","nocturnal/crepuscular","Moschus_chrysogaster"
"Moschus cupreus","nocturnal/crepuscular","Moschus_cupreus"
"Moschus fuscus","nocturnal/crepuscular","Moschus_fuscus"
"Moschus leucogaster","nocturnal/crepuscular","Moschus_leucogaster"
"Moschus moschiferus","nocturnal/crepuscular","Moschus_moschiferus"
"Muntiacus atherodes","diurnal","Muntiacus_atherodes"
"Muntiacus crinifrons","cathemeral/crepuscular","Muntiacus_crinifrons"
"Muntiacus feae","diurnal","Muntiacus_feae"
"Muntiacus gongshanensis","cathemeral/crepuscular","Muntiacus_gongshanensis"
"Muntiacus muntjak","cathemeral/crepuscular","Muntiacus_muntjak"
"Muntiacus reevesi","cathemeral/crepuscular","Muntiacus_reevesi"
"Muntiacus vaginalis","cathemeral","Muntiacus_vaginalis"
"Muntiacus vuquangensis","diurnal","Muntiacus_vuquangensis"
"Naemorhedus baileyi","diurnal/crepuscular","Naemorhedus_baileyi"
"Naemorhedus caudatus","cathemeral/crepuscular","Naemorhedus_caudatus"
"Naemorhedus goral","cathemeral/crepuscular","Naemorhedus_goral"
"Naemorhedus griseus","diurnal/crepuscular","Naemorhedus_griseus"
"Nanger dama","nocturnal","Nanger_dama"
"Nanger granti","diurnal/crepuscular","Nanger_granti"
"Nanger soemmerringii","diurnal","Nanger_soemmerringii"
"Neotragus batesi","nocturnal/crepuscular","Neotragus_batesi"
"Neotragus pygmaeus","nocturnal","Neotragus_pygmaeus"
"Nesotragus moschatus","nocturnal/crepuscular","Nesotragus_moschatus"
"Nilgiritragus hylocrius","cathemeral/crepuscular","Nilgiritragus_hylocrius"
"Odocoileus hemionus","cathemeral/crepuscular","Odocoileus_hemionus"
"Odocoileus virginianus","cathemeral/crepuscular","Odocoileus_virginianus"
"Okapia johnstoni","diurnal","Okapia_johnstoni"
"Oreamnos americanus","nocturnal","Oreamnos_americanus"
"Oreotragus oreotragus","diurnal","Oreotragus_oreotragus"
"Oryx beisa","diurnal","Oryx_beisa"
"Oryx dammah","cathemeral/crepuscular","Oryx_dammah"
"Oryx gazella","diurnal","Oryx_gazella"
"Oryx leucoryx","nocturnal/crepuscular","Oryx_leucoryx"
"Ourebia ourebi","diurnal","Ourebia_ourebi"
"Ovibos moschatus","cathemeral","Ovibos_moschatus"
"Ovis ammon","cathemeral/crepuscular","Ovis_ammon"
"Ovis aries","cathemeral/crepuscular","Ovis_aries"
"Ovis canadensis","cathemeral","Ovis_canadensis"
"Ovis dalli","diurnal","Ovis_dalli"
"Ovis gmelini","cathemeral/crepuscular","Ovis_gmelini"
"Ovis nivicola","cathemeral/crepuscular","Ovis_nivicola"
"Ovis orientalis","cathemeral/crepuscular","Ovis_orientalis"
"Ozotoceros bezoarticus","cathemeral","Ozotoceros_bezoarticus"
"Pantholops hodgsonii","diurnal/crepuscular","Pantholops_hodgsonii"
"Pecari tajacu","diurnal/crepuscular","Pecari_tajacu"
"Pelea capreolus","diurnal","Pelea_capreolus"
"Phacochoerus aethiopicus","diurnal","Phacochoerus_aethiopicus"
"Phacochoerus africanus","diurnal/crepuscular","Phacochoerus_africanus"
"Philantomba maxwellii","diurnal/crepuscular","Philantomba_maxwellii"
"Philantomba monticola","diurnal/crepuscular","Philantomba_monticola"
"Philantomba walteri","cathemeral/crepuscular","Philantomba_walteri"
"Porcula salvania","diurnal","Porcula_salvania"
"Potamochoerus larvatus","nocturnal","Potamochoerus_larvatus"
"Potamochoerus porcus","nocturnal","Potamochoerus_porcus"
"Procapra gutturosa","diurnal/crepuscular","Procapra_gutturosa"
"Procapra picticaudata","diurnal/crepuscular","Procapra_picticaudata"
"Procapra przewalskii","diurnal/crepuscular","Procapra_przewalskii"
"Pseudois nayaur","diurnal/crepuscular","Pseudois_nayaur"
"Pseudoryx nghetinhensis","cathemeral/crepuscular","Pseudoryx_nghetinhensis"
"Pudu mephistophiles","nocturnal/crepuscular","Pudu_mephistophiles"
"Pudu puda","nocturnal","Pudu_puda"
"Rangifer tarandus","cathemeral/crepuscular","Rangifer_tarandus"
"Raphicerus campestris","diurnal/crepuscular","Raphicerus_campestris"
"Raphicerus melanotis","nocturnal/crepuscular","Raphicerus_melanotis"
"Raphicerus sharpei","nocturnal/crepuscular","Raphicerus_sharpei"
"Redunca arundinum","nocturnal/crepuscular","Redunca_arundinum"
"Redunca fulvorufula","cathemeral/crepuscular","Redunca_fulvorufula"
"Redunca redunca","cathemeral/crepuscular","Redunca_redunca"
"Rucervus duvaucelii","cathemeral/crepuscular","Rucervus_duvaucelii"
"Rucervus eldii","cathemeral/crepuscular","Rucervus_eldii"
"Rupicapra pyrenaica","diurnal/crepuscular","Rupicapra_pyrenaica"
"Rupicapra rupicapra","diurnal/crepuscular","Rupicapra_rupicapra"
"Rusa alfredi","nocturnal","Rusa_alfredi"
"Rusa marianna","nocturnal","Rusa_marianna"
"Rusa timorensis","nocturnal","Rusa_timorensis"
"Rusa unicolor","nocturnal","Rusa_unicolor"
"Saiga tatarica","cathemeral/crepuscular","Saiga_tatarica"
"Sus ahoenobarbus","nocturnal/crepuscular","Sus_ahoenobarbus"
"Sus barbatus","diurnal/crepuscular","Sus_barbatus"
"Sus cebifrons","nocturnal","Sus_cebifrons"
"Sus celebensis","cathemeral/crepuscular","Sus_celebensis"
"Sus oliveri","cathemeral","Sus_oliveri"
"Sus philippensis","nocturnal","Sus_philippensis"
"Sus scrofa","nocturnal","Sus_scrofa"
"Sus verrucosus","cathemeral/crepuscular","Sus_verrucosus"
"Sylvicapra grimmia","nocturnal/crepuscular","Sylvicapra_grimmia"
"Syncerus caffer","nocturnal/crepuscular","Syncerus_caffer"
"Tayassu pecari","diurnal","Tayassu_pecari"
"Tetracerus quadricornis","diurnal/crepuscular","Tetracerus_quadricornis"
"Tragelaphus angasii","diurnal/crepuscular","Tragelaphus_angasii"
"Tragelaphus buxtoni","cathemeral/crepuscular","Tragelaphus_buxtoni"
"Tragelaphus derbianus","cathemeral/crepuscular","Tragelaphus_derbianus"
"Tragelaphus eurycerus","nocturnal","Tragelaphus_eurycerus"
"Tragelaphus imberbis","nocturnal","Tragelaphus_imberbis"
"Tragelaphus oryx","cathemeral/crepuscular","Tragelaphus_oryx"
"Tragelaphus scriptus","nocturnal/crepuscular","Tragelaphus_scriptus"
"Tragelaphus spekii","cathemeral/crepuscular","Tragelaphus_spekii"
"Tragelaphus strepsiceros","diurnal","Tragelaphus_strepsiceros"
"Tragelaphus sylvaticus","cathemeral","Tragelaphus_sylvaticus"
"Tragulus javanicus","diurnal/crepuscular","Tragulus_javanicus"
"Tragulus kanchil","cathemeral/crepuscular","Tragulus_kanchil"
"Tragulus napu","cathemeral","Tragulus_napu"
"Tragulus nigricans","nocturnal","Tragulus_nigricans"
"Tragulus versicolor","diurnal","Tragulus_versicolor"
"Tragulus williamsoni","diurnal/crepuscular","Tragulus_williamsoni"
"Vicugna vicugna","diurnal","Vicugna_vicugna"
