Genus_species,Male_body_mass(g),Female_Body_Mass(g),Average_Body_Mass(g),Brain_mass(g),Encephalization_quotient,Longevity(days),Sexual_maturity_age_females(days),Average_group_size,Group_size_range,Group_social_dynamics,Feeding_strategy
Hyperoodon ampullatus,"7,500,000","5,800,000","6,650,000",,,"13,505",3650,2.75,04-Jan,SG/FF,R
Hyperoodon planifrons,"5,539,000","6,708,000","6,123,500",,,,,3.9,10-Jan,SSG,R
Indopacetus pacificus,,,,,,,,,,,
Mesoplodon carlhubbsi,,,,,,,,,,,
Mesoplodon stejnegeri,,,,,,,,10,15-May,SSG,
Mesoplodon peruvianus,,,,,,,,,,,
Mesoplodon perrini,,,,,,,,,,,
Mesoplodon mirus,"1,097,000","1,263,000","1,180,000",2355,1.49,,,2,03-Jan,SSG,R
Mesoplodon layardii,"2,243,000","2,555,000","2,399,000",,,,,4.1,06-Feb,SSG,SuF
Mesoplodon hectori,,,,,,,,,,,
Mesoplodon grayi,"1,156,800","997,300","1,077,050",,,,,4,08-Jan,SSG,R
Mesoplodon ginkodens,,,,,,,,,,,
Mesoplodon bidens,,,,,,,,,,,
Mesoplodon densirostris,"1,168,000","1,178,000","1,173,000",1424.5,0.91,9855,3285,5,12-Feb,SSG,R
Mesoplodon bowdoini,,,,,,,,,,,
Mesoplodon traversii,,,,,,,,,,,
Mesoplodon europaeus,"765,000","902,000","833,500",2148.5,1.75,"17,520",3285,,,,R
Kogia breviceps,"318,000","350,000","334,000",1019,1.6,7300,1825,3,06-Jan,SSG/Sol,R
Kogia simus,"291,000","291,000","291,000",622,1.08,,1825,1.6,06-Jan,SSG/Sol,R
Physeter macrocephalus,"53,681,000","18,382,000","36,031,500",8183.1,0.45,"23,725",3285,25,6-40,SG,
Platanista gangetica,"59,500","59,660","59,580",290.5,1.57,"10,220",3650,1,10-Jan,SSG/Sol,R
Platanista minor,,,"18,300",164,2.07,,,1,10-Jan,SSG/Sol,R
Inia geoffrensis,"109,657","74,350",92003.5,633.7,2.51,7300,1825,1,03-Jan,SSG/Sol,R
Lipotes vexillifer,"82,000","82,000","82,000",510,2.19,8760,2190,3.5,10-Feb,SSG,R
Pontoporia blainvillei,"31,080","38,640","34,860",221.2,1.76,7665,985.5,1,15-Jan,SSG,R
