"Species_name","min_lat","max_lat","tips","mean_lat"
"Sus verrucosus",-7.78569460099993,-5.79082775199993,"Sus_verrucosus",-6.78826117649993
"Sus cebifrons",9.17149543800002,12.3257565690001,"Sus_cebifrons",10.7486260035
"Sus philippensis",5.80761575700006,18.6303882600001,"Sus_philippensis",12.2190020085001
"Sus ahoenobarbus",7.80166673700006,12.33133316,"Sus_ahoenobarbus",10.0664999485001
"Sus bucculentus",11.0748355920001,18.3633355920001,"Sus_bucculentus",14.7190855920001
"Potamochoerus larvatus",-34.440564407,13.6963355930001,"Potamochoerus_larvatus",-10.3721144069999
"Sus celebensis",-10.9418611530697,2.92300009717678,"Sus_celebensis",-4.00943052794648
"Sus scrofa",-8.84949970194964,61.5202721240593,"Sus_scrofa",26.3353862110548
"Sus oliveri",12.677738382,13.512749672,"Sus_oliveri",13.095244027
"Babyrousa celebensis",-5.70324993199995,1.55561113300007,"Babyrousa_celebensis",-2.07381939949994
"Babyrousa togeanensis",-0.571027754999932,-0.231916665999961,"Babyrousa_togeanensis",-0.401472210499946
"Cephalorhynchus hectori",-47.0779362919999,-35.6400833129999,"Cephalorhynchus_hectori",-41.3590098024999
"Bison bonasus",41.4718593964026,60.0247746889208,"Bison_bonasus",50.7483170426617
"Bos sauveli",12.378335593,14.5947355930001,"Bos_sauveli",13.486535593
"Bos gaurus",3.70793559300006,29.7566355930001,"Bos_gaurus",16.7322855930001
"Bubalus depressicornis",-5.43113899199994,1.27483559200004,"Bubalus_depressicornis",-2.07815169999995
"Bubalus quarlesi",-5.14736440799993,1.24603559300004,"Bubalus_quarlesi",-1.95066440749994
"Bubalus arnee",6.27903559300006,27.7430355930001,"Bubalus_arnee",17.0110355930001
"Addax nasomaculatus",15.6381355930001,22.5009301370001,"Addax_nasomaculatus",19.0695328650001
"Aepyceros melampus",-27.892464407,2.96303559200004,"Aepyceros_melampus",-12.4647144075
"Ammodorcas clarkei",4.33823559300004,7.96053223400003,"Ammodorcas_clarkei",6.14938391350003
"Antilope cervicapra",8.06904578000007,28.7461355930001,"Antilope_cervicapra",18.4075906865001
"Cephalophus adersi",-6.47613525399993,-1.35353999999995,"Cephalophus_adersi",-3.91483762699994
"Cephalophus callipygus",-4.52216440799998,5.02023559200006,"Cephalophus_callipygus",0.249035592000041
"Cephalophus jentinki",4.83623453100006,9.29473559300004,"Cephalophus_jentinki",7.06548506200005
"Cephalophus leucogaster",-5.68289432899996,4.27843559300004,"Cephalophus_leucogaster",-0.702229367999962
"Philantomba maxwellii",4.35313559300005,13.858435592,"Philantomba_maxwellii",9.10578559250004
"Philantomba monticola",-34.3584644069999,9.14303559300004,"Philantomba_monticola",-12.6077144069999
"Cephalophus natalensis",-29.940664408,-6.71996440699996,"Cephalophus_natalensis",-18.3303144075
"Cephalophus niger",4.29343559300003,10.008535593,"Cephalophus_niger",7.15098559300003
"Cephalophus nigrifrons",-11.3570644069999,5.87333559300004,"Cephalophus_nigrifrons",-2.74186440699995
"Cephalophus ogilbyi",-3.95053590399993,9.89903559200008,"Cephalophus_ogilbyi",2.97424984400007
"Cephalophus rufilatus",1.88833559300002,15.0020355930001,"Cephalophus_rufilatus",8.44518559300005
"Cephalophus silvicultor",-17.381464407,13.1637355930001,"Cephalophus_silvicultor",-2.10886440699994
"Cephalophus spadix",-9.23556440799996,-2.85376440699997,"Cephalophus_spadix",-6.04466440749997
"Cephalophus weynsi",-6.56486440699996,5.47383559300005,"Cephalophus_weynsi",-0.545514406999956
"Cephalophus zebra",4.83623453100006,8.53598409100005,"Cephalophus_zebra",6.68610931100005
"Cephalophus harveyi",-13.350664407,6.81563559200004,"Cephalophus_harveyi",-3.26751440749996
"Connochaetes gnou",-32.947264407,-25.702264407,"Connochaetes_gnou",-29.324764407
"Beatragus hunteri",-3.49086440699995,-0.710264406999954,"Beatragus_hunteri",-2.10056440699995
"Damaliscus lunatus",-26.6915644069999,12.969835592,"Damaliscus_lunatus",-6.86086440749995
"Dorcatragus megalotis",8.68738395200006,11.742426575,"Dorcatragus_megalotis",10.2149052635
"Gazella cuvieri",26.755384249,36.128989846,"Gazella_cuvieri",31.4421870475
"Nanger dama",14.0875355920001,30.0765988910001,"Nanger_dama",22.0820672415001
"Gazella dorcas",10.3248081420001,35.453826904,"Gazella_dorcas",22.889317523
"Gazella gazella",30.7847355920001,36.5763104910001,"Gazella_gazella",33.6805230415001
"Nanger granti",-7.96866440699995,5.87443559200005,"Nanger_granti",-1.04711440749995
"Gazella leptoceros",17.8137355920001,33.9273355930001,"Gazella_leptoceros",25.8705355925001
"Eudorcas rufifrons",8.93973559200003,17.419735593,"Eudorcas_rufifrons",13.1797355925
"Gazella spekei",2.21733559300003,10.485935593,"Gazella_spekei",6.35163559300003
"Gazella subgutturosa",25.742235593,50.164335592,"Gazella_subgutturosa",37.9532855925
"Gazella marica",15.096935592,37.5867355930001,"Gazella_marica",26.3418355925
"Gazella bennettii",15.439235592,35.8467355920001,"Gazella_bennettii",25.6429855920001
"Eudorcas tilonura",12.3619355920001,19.3961355920001,"Eudorcas_tilonura",15.8790355920001
"Eudorcas albonotata",4.84403559300006,9.33333559300007,"Eudorcas_albonotata",7.08868559300006
"Hippotragus equinus",-25.4811644069999,14.5247355930001,"Hippotragus_equinus",-5.47821440699994
"Hippotragus niger",-25.805264407,-2.97086440799995,"Hippotragus_niger",-14.3880644075
"Hyemoschus aquaticus",-8.65076440799993,11.7527084500001,"Hyemoschus_aquaticus",1.55097202100006
"Kobus leche",-20.0259644079999,-8.31756440799995,"Kobus_leche",-14.1717644079999
"Kobus megaceros",6.18873559200006,10.251235593,"Kobus_megaceros",8.21998559250005
"Kobus ellipsiprymnus",-28.758664407,16.1153355920001,"Kobus_ellipsiprymnus",-6.32166440749995
"Kobus kob",-1.04686440699993,15.7312355930001,"Kobus_kob",7.34218559300007
"Kobus vardonii",-17.408064408,-4.11616440699993,"Kobus_vardonii",-10.7621144075
"Litocranius walleri",-5.67026440699993,11.5541355930001,"Litocranius_walleri",2.94193559300007
"Madoqua piacentinii",2.20583559300007,7.79904725300003,"Madoqua_piacentinii",5.00244142300005
"Madoqua saltiana",0.953535592000037,18.315835592,"Madoqua_saltiana",9.63468559200004
"Madoqua guentheri",-2.54226440699995,9.85786479400002,"Madoqua_guentheri",3.65780019350004
"Madoqua kirkii",-24.2071644069999,2.84593559200005,"Madoqua_kirkii",-10.6806144074999
"Neotragus pygmaeus",4.35313559300005,9.80803559300006,"Neotragus_pygmaeus",7.08058559300005
"Neotragus batesi",-4.24676440799993,5.88873559300004,"Neotragus_batesi",0.820985592500051
"Nesotragus moschatus",-28.2229644069999,0.411235593000072,"Nesotragus_moschatus",-13.9058644069999
